magnitude_threshold,cumulative_count,annual_rate
7.5,71,0.4569406022589115
7.6,65,0.41832590347646825
7.699999999999999,57,0.3668396384332106
7.799999999999999,52,0.3346607227811746
7.899999999999999,43,0.2767386746075098
7.999999999999998,37,0.23812397582506653
8.099999999999998,32,0.20594506017303052
8.199999999999998,29,0.1866377107818089
8.299999999999997,26,0.1673303613905873
8.399999999999997,20,0.12871566260814407
8.499999999999996,19,0.12227987947773687
8.599999999999996,16,0.10297253008651526
8.699999999999996,9,0.05792204817366483
8.799999999999995,8,0.05148626504325763
8.899999999999995,5,0.03217891565203602
8.999999999999995,5,0.03217891565203602
9.099999999999994,4,0.025743132521628815
9.199999999999994,2,0.012871566260814407
9.299999999999994,1,0.006435783130407204
9.399999999999993,1,0.006435783130407204
9.499999999999993,1,0.006435783130407204
9.599999999999993,0,0.0
9.699999999999992,0,0.0
9.799999999999992,0,0.0
9.899999999999991,0,0.0
